Start,End
00:00:00.000,00:00:03.212
00:00:03.212,00:00:05.464
00:00:05.464,00:00:16.350
00:00:16.350,00:01:11.989
00:01:11.989,00:01:25.502
00:01:25.502,00:01:32.885
00:01:32.885,00:01:35.846
00:01:35.846,00:01:38.682
00:01:38.682,00:01:43.270
00:01:43.270,00:01:45.397
00:01:45.397,00:01:48.400
00:01:48.400,00:01:50.485
00:01:50.485,00:01:53.655
00:01:53.655,00:01:54.907
00:01:54.907,00:01:56.116
00:01:56.116,00:01:59.328
00:01:59.328,00:02:03.916
00:02:03.916,00:02:08.128
00:02:08.128,00:02:44.289
00:02:44.289,00:02:53.549
00:02:53.549,00:02:57.886
00:02:57.886,00:03:04.184
00:03:04.184,00:03:15.028
00:03:15.028,00:03:17.865
00:03:17.865,00:03:20.242
00:03:20.242,00:03:21.577
00:03:21.577,00:03:24.872
00:03:24.872,00:03:26.707
00:03:26.707,00:03:36.008
00:03:36.008,00:03:44.183
00:03:44.183,00:03:47.269
00:03:47.269,00:03:52.441
00:03:52.441,00:03:56.069
00:03:56.069,00:03:59.448
00:03:59.448,00:04:02.451
00:04:02.451,00:04:04.203
00:04:04.203,00:04:05.829
00:04:05.829,00:04:08.207
00:04:08.207,00:04:09.708
00:04:09.708,00:04:11.293
00:04:11.293,00:04:12.669
00:04:12.669,00:04:18.258
00:04:18.258,00:04:26.058
00:04:26.058,00:04:41.573
00:04:41.573,00:05:12.437
00:05:12.437,00:05:14.773
00:05:14.773,00:05:25.784
00:05:25.784,00:05:38.547
00:05:38.547,00:06:05.782
00:06:05.782,00:06:45.155
00:06:45.155,00:07:09.805
00:07:09.805,00:07:12.850
00:07:12.850,00:07:18.564
00:07:18.564,00:07:23.861
00:07:23.861,00:07:40.544
00:07:40.544,00:07:44.506
00:07:44.506,00:08:04.568
00:08:04.568,00:08:06.862
00:08:06.862,00:08:14.369
00:08:14.369,00:08:16.580
00:08:16.580,00:08:23.295
00:08:23.295,00:08:24.880
00:08:24.880,00:08:26.882
00:08:26.882,00:08:29.384
00:08:29.384,00:09:07.422
00:09:07.422,00:09:09.216
00:09:09.216,00:09:16.348
00:09:16.348,00:09:20.227
00:09:20.227,00:09:22.729
00:09:22.729,00:09:24.356
00:09:24.356,00:09:31.280
00:09:31.280,00:09:48.755
00:09:48.755,00:09:52.551
00:09:52.551,00:10:04.062
00:10:04.062,00:10:05.022
00:10:05.022,00:10:07.816
00:10:07.816,00:10:10.277
00:10:10.277,00:10:12.237
00:10:12.237,00:10:16.116
00:10:16.116,00:10:17.618
00:10:17.618,00:10:18.952
00:10:18.952,00:10:23.498
00:10:23.498,00:10:31.423
00:10:31.423,00:10:36.053
00:10:36.053,00:11:04.623
00:11:04.623,00:11:13.799
00:11:13.799,00:11:16.969
00:11:16.969,00:11:25.269
00:11:25.269,00:11:45.998
00:11:45.998,00:11:53.172
00:11:53.172,00:11:55.841
00:11:55.841,00:11:59.094
00:11:59.094,00:12:01.054
00:12:01.054,00:12:03.223
00:12:03.223,00:12:09.980
00:12:09.980,00:12:11.398
00:12:11.398,00:12:15.903
00:12:15.903,00:12:17.487
00:12:17.487,00:12:20.365
00:12:20.365,00:12:22.159
00:12:22.159,00:12:27.206
00:12:27.206,00:12:40.719
00:12:40.719,00:12:43.889
00:12:43.889,00:12:45.140
00:12:45.140,00:12:49.895
00:12:49.895,00:12:55.108
00:12:55.108,00:12:56.735
00:12:56.735,00:12:59.363
00:12:59.363,00:13:02.783
00:13:02.783,00:13:03.659
00:13:03.659,00:13:04.535
00:13:04.535,00:13:05.911
00:13:05.911,00:13:06.995
00:13:06.995,00:13:08.288
00:13:08.288,00:13:09.164
00:13:09.164,00:13:10.290
00:13:10.290,00:13:14.294
00:13:14.294,00:13:16.630
00:13:16.630,00:13:17.464
00:13:17.464,00:13:20.759
00:13:20.759,00:13:21.510
00:13:21.510,00:13:22.928
00:13:22.928,00:13:25.013
00:13:25.013,00:13:25.722
00:13:25.722,00:13:33.438
00:13:33.438,00:13:37.317
00:13:37.317,00:13:44.449
00:13:44.449,00:13:51.665
00:13:51.665,00:13:52.958
00:13:52.958,00:13:55.210
00:13:55.210,00:13:56.461
00:13:56.461,00:13:57.588
00:13:57.588,00:13:58.297
00:13:58.297,00:14:00.299
00:14:00.299,00:14:03.218
00:14:03.218,00:14:04.469
00:14:04.469,00:14:05.721
00:14:05.721,00:14:06.763
00:14:06.763,00:14:11.018
00:14:11.018,00:14:13.979
00:14:13.979,00:14:15.814
00:14:15.814,00:14:27.409
00:14:27.409,00:14:53.560
00:14:53.560,00:14:55.062
00:14:55.062,00:14:59.066
00:14:59.066,00:15:01.068
00:15:01.068,00:15:02.569
00:15:02.569,00:15:14.873
00:15:14.873,00:15:18.919
00:15:18.919,00:15:42.568
00:15:42.568,00:15:45.737
00:15:45.737,00:15:52.327
00:15:52.327,00:15:54.663
00:15:54.663,00:15:57.624
